iter	Passed	Remaining
400	2145	3204
401	2151	3199
402	2156	3195
403	2161	3189
404	2167	3184
405	2174	3180
406	2179	3175
407	2185	3170
408	2189	3163
409	2194	3157
410	2200	3154
411	2206	3149
412	2212	3144
413	2218	3140
414	2224	3135
415	2228	3128
416	2234	3123
417	2239	3118
418	2244	3112
419	2251	3109
420	2257	3104
421	2262	3098
422	2268	3093
423	2273	3088
424	2279	3083
425	2287	3082
426	2293	3077
427	2299	3073
428	2306	3069
429	2312	3064
430	2320	3063
431	2325	3058
432	2332	3053
433	2339	3050
434	2344	3045
435	2352	3042
436	2358	3038
437	2364	3033
438	2370	3029
439	2377	3025
440	2384	3022
441	2390	3017
442	2397	3013
443	2403	3010
444	2409	3005
445	2417	3002
446	2423	2998
447	2430	2995
448	2436	2990
449	2443	2986
450	2453	2986
451	2460	2982
452	2469	2981
453	2475	2977
454	2484	2975
455	2491	2971
456	2496	2966
457	2503	2963
458	2509	2958
459	2516	2954
460	2521	2948
461	2526	2942
462	2533	2938
463	2539	2933
464	2545	2928
465	2552	2924
466	2557	2918
467	2563	2913
468	2569	2909
469	2575	2903
470	2581	2898
471	2588	2895
472	2593	2889
473	2600	2886
474	2605	2879
475	2610	2874
476	2617	2870
477	2622	2864
478	2628	2859
479	2635	2854
480	2640	2849
481	2647	2845
482	2652	2839
483	2657	2833
484	2663	2828
485	2669	2822
486	2675	2817
487	2680	2812
488	2685	2806
489	2691	2801
490	2697	2796
491	2702	2790
492	2708	2784
493	2714	2780
494	2719	2774
495	2725	2769
496	2731	2764
497	2737	2759
498	2745	2756
499	2751	2751
500	2756	2745
501	2761	2739
502	2767	2734
503	2773	2729
504	2779	2724
505	2783	2717
506	2788	2711
507	2795	2707
508	2800	2701
509	2806	2696
510	2812	2691
511	2817	2685
512	2823	2680
513	2829	2675
514	2834	2669
515	2839	2663
516	2846	2659
517	2852	2653
518	2858	2648
519	2864	2643
520	2869	2638
521	2874	2632
522	2880	2626
523	2885	2620
524	2890	2615
525	2896	2610
526	2901	2604
527	2907	2598
528	2912	2592
529	2917	2586
530	2923	2581
531	2929	2576
532	2934	2570
533	2939	2565
534	2945	2559
535	2950	2553
536	2956	2549
537	2962	2544
538	2967	2538
539	2975	2534
540	2980	2528
541	2985	2523
542	2991	2517
543	2997	2512
544	3003	2507
545	3008	2501
546	3013	2495
547	3018	2489
548	3026	2486
549	3030	2479
550	3035	2473
551	3042	2469
552	3048	2463
553	3053	2458
554	3059	2453
555	3065	2448
556	3070	2442
557	3077	2437
558	3082	2431
559	3088	2426
560	3094	2421
561	3099	2415
562	3105	2410
563	3111	2405
564	3115	2398
565	3121	2393
566	3127	2388
567	3131	2381
568	3137	2376
569	3143	2371
570	3149	2366
571	3155	2361
572	3161	2355
573	3166	2349
574	3172	2344
575	3178	2339
576	3183	2333
577	3190	2329
578	3194	2322
579	3199	2317
580	3205	2311
581	3211	2306
582	3219	2302
583	3225	2297
584	3230	2291
585	3235	2285
586	3241	2280
587	3246	2274
588	3252	2269
589	3258	2264
590	3264	2258
591	3270	2253
592	3276	2248
593	3281	2243
594	3289	2238
595	3294	2233
596	3299	2227
597	3305	2222
598	3311	2216
599	3316	2211
600	3323	2206
601	3329	2201
602	3338	2197
603	3343	2192
604	3349	2186
605	3355	2181
606	3361	2176
607	3367	2171
608	3373	2166
609	3379	2160
610	3384	2154
611	3390	2149
612	3395	2143
613	3401	2138
614	3407	2133
615	3412	2127
616	3421	2123
617	3426	2118
618	3434	2113
619	3439	2108
620	3444	2102
621	3451	2097
622	3457	2092
623	3462	2086
624	3470	2082
625	3475	2076
626	3481	2071
627	3488	2066
628	3494	2060
629	3500	2056
630	3508	2051
631	3513	2045
632	3520	2040
633	3526	2035
634	3531	2029
635	3539	2025
636	3545	2020
637	3556	2017
638	3561	2012
639	3567	2006
640	3572	2000
641	3579	1995
642	3585	1990
643	3592	1985
644	3598	1980
645	3604	1975
646	3610	1969
647	3617	1964
648	3623	1959
649	3630	1954
650	3635	1949
651	3642	1943
652	3650	1940
653	3657	1935
654	3664	1930
655	3671	1925
656	3678	1920
657	3688	1916
658	3695	1911
659	3703	1907
660	3715	1905
661	3722	1900
662	3728	1895
663	3737	1891
664	3744	1886
665	3754	1882
666	3762	1878
667	3769	1873
668	3774	1867
669	3784	1863
670	3789	1858
671	3795	1852
672	3803	1848
673	3809	1842
674	3819	1838
675	3827	1834
676	3834	1829
677	3840	1824
678	3846	1818
679	3853	1813
680	3862	1809
681	3870	1804
682	3879	1800
683	3887	1796
684	3896	1791
685	3904	1787
686	3915	1783
687	3922	1778
688	3933	1775
689	3939	1769
690	3948	1765
691	3955	1760
692	3967	1757
693	3973	1752
694	3981	1747
695	3988	1741
696	3995	1736
697	4002	1731
698	4010	1727
699	4017	1721
700	4022	1715
701	4031	1711
702	4036	1705
703	4042	1699
704	4049	1694
705	4055	1688
706	4060	1682
707	4067	1677
708	4073	1671
709	4082	1667
710	4087	1661
711	4094	1656
712	4101	1650
713	4107	1645
714	4116	1640
715	4122	1635
716	4129	1630
717	4134	1623
718	4144	1619
719	4151	1614
720	4159	1609
721	4166	1604
722	4172	1598
723	4180	1593
724	4185	1587
725	4193	1582
726	4200	1577
727	4207	1571
728	4214	1566
729	4220	1560
730	4228	1556
731	4234	1550
732	4239	1544
733	4246	1538
734	4251	1532
735	4257	1526
736	4263	1521
737	4268	1515
738	4274	1509
739	4279	1503
740	4285	1497
741	4291	1492
742	4296	1486
743	4302	1480
744	4308	1474
745	4315	1469
746	4322	1463
747	4328	1458
748	4333	1452
749	4339	1446
750	4345	1440
751	4350	1434
752	4356	1429
753	4361	1423
754	4367	1417
755	4373	1411
756	4378	1405
757	4383	1399
758	4390	1394
759	4396	1388
760	4400	1382
761	4406	1376
762	4412	1370
763	4418	1364
764	4424	1359
765	4431	1353
766	4438	1348
767	4444	1342
768	4450	1336
769	4460	1332
770	4469	1327
771	4479	1322
772	4485	1317
773	4491	1311
774	4498	1306
775	4506	1300
776	4512	1295
777	4518	1289
778	4526	1284
779	4532	1278
780	4539	1272
781	4548	1267
782	4556	1262
783	4563	1257
784	4570	1251
785	4576	1245
786	4583	1240
787	4590	1235
788	4597	1229
789	4603	1223
790	4611	1218
791	4617	1212
792	4629	1208
793	4636	1202
794	4645	1197
795	4653	1192
796	4660	1187
797	4666	1181
798	4672	1175
799	4676	1169
800	4681	1163
801	4690	1157
802	4696	1152
803	4702	1146
804	4709	1140
805	4716	1135
806	4722	1129
807	4728	1123
808	4734	1117
809	4741	1112
810	4746	1106
811	4753	1100
812	4759	1094
813	4764	1088
814	4772	1083
815	4777	1077
816	4784	1071
817	4790	1065
818	4795	1059
819	4802	1054
820	4807	1048
821	4813	1042
822	4821	1036
823	4826	1030
824	4831	1024
825	4837	1019
826	4844	1013
827	4849	1007
828	4854	1001
829	4859	995
830	4865	989
831	4871	983
832	4876	977
833	4883	972
834	4889	966
835	4895	960
836	4902	954
837	4907	948
838	4914	943
839	4920	937
840	4926	931
841	4930	925
842	4937	919
843	4944	913
844	4951	908
845	4956	902
846	4962	896
847	4968	890
848	4973	884
849	4979	878
850	4986	873
851	4991	867
852	4996	861
853	5003	855
854	5008	849
855	5014	843
856	5020	837
857	5026	831
858	5033	826
859	5040	820
860	5046	814
861	5053	808
862	5058	803
863	5065	797
864	5071	791
865	5076	785
866	5082	779
867	5087	773
868	5093	767
869	5099	761
870	5103	755
871	5109	749
872	5115	744
873	5120	738
874	5125	732
875	5132	726
876	5138	720
877	5145	714
878	5151	709
879	5157	703
880	5164	697
881	5170	691
882	5176	685
883	5184	680
884	5190	674
885	5197	668
886	5203	662
887	5210	657
888	5217	651
889	5223	645
890	5230	639
891	5236	634
892	5242	628
893	5248	622
894	5255	616
895	5262	610
896	5269	605
897	5275	599
898	5281	593
899	5287	587
900	5292	581
901	5299	575
902	5306	569
903	5313	564
904	5319	558
905	5325	552
906	5332	546
907	5338	540
908	5343	534
909	5350	529
910	5356	523
911	5362	517
912	5367	511
913	5373	505
914	5380	499
915	5386	493
916	5395	488
917	5402	482
918	5406	476
919	5415	470
920	5421	465
921	5429	459
922	5435	453
923	5443	447
924	5452	442
925	5462	436
926	5469	430
927	5475	424
928	5484	419
929	5489	413
930	5495	407
931	5501	401
932	5509	395
933	5516	389
934	5524	384
935	5535	378
936	5545	372
937	5551	366
938	5560	361
939	5566	355
940	5573	349
941	5582	343
942	5588	337
943	5595	331
944	5601	326
945	5608	320
946	5615	314
947	5620	308
948	5626	302
949	5631	296
950	5638	290
951	5644	284
952	5650	278
953	5657	272
954	5663	266
955	5670	260
956	5677	255
957	5683	249
958	5690	243
959	5698	237
960	5709	231
961	5716	225
962	5722	219
963	5730	213
964	5737	208
965	5743	202
966	5749	196
967	5756	190
968	5762	184
969	5768	178
970	5775	172
971	5781	166
972	5788	160
973	5795	154
974	5801	148
975	5808	142
976	5815	136
977	5822	130
978	5829	125
979	5836	119
980	5843	113
981	5851	107
982	5857	101
983	5864	95
984	5869	89
985	5876	83
986	5880	77
987	5885	71
988	5891	65
989	5897	59
990	5904	53
991	5911	47
992	5917	41
993	5925	35
994	5932	29
995	5939	23
996	5945	17
997	5952	11
998	5958	5
999	5966	0
